fss__k,model__var_smoothing,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_f1_mean,test_f1_std,test_roc_auc_mean,test_roc_auc_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std
14,1e-20,0.0031787395477294923,0.001312865180602505,0.004534721374511719,0.0009573584088504786,0.5883492660158004,0.13843327110073414,0.7964029978546426,0.05151393696844123,0.6710122699386503,0.05771030349784121,0.7519152161810843,0.031922868355754724,0.5015337423312884,0.15069750134437576
13,7.277257431773254e-06,0.0025281906127929688,5.276909314220427e-05,0.004981613159179688,0.0020427250200375684,0.566661209599648,0.13659286542879018,0.7826491870224699,0.0879234787425922,0.6524539877300614,0.0805476148038711,0.7352950471420919,0.13254047149600126,0.47791411042944787,0.15601891621489136
13,7.277257431773254e-06,0.0026920318603515627,0.0006106652519158287,0.004969739913940429,0.002219836522277585,0.63493389210219,0.049270413850475696,0.7849636794760811,0.06858232485350728,0.6720858895705522,0.043899874616058474,0.7160051769506663,0.05490302793191465,0.5705521472392638,0.04601226993865029
13,7.277257431773254e-06,0.003093385696411133,0.0013179384034498827,0.00578160285949707,0.0025610783157005257,0.5787367804917861,0.10781371813584102,0.7792283770559674,0.06065830396553065,0.6576687116564417,0.07033274768478133,0.7403673055803738,0.11066054434868038,0.4794478527607362,0.10750034902483195
13,7.277257431773254e-06,0.003033733367919922,0.0009431236969159321,0.004873895645141601,0.0017059529095694189,0.4997807514895312,0.08952537699681963,0.7798451673002372,0.07849879813212579,0.6368098159509201,0.06505960694524386,0.8054517488617309,0.1463364428817702,0.36349693251533743,0.06899454256886518
