fss__k,model__k,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_f1_mean,test_f1_std,test_roc_auc_mean,test_roc_auc_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std
16,6,7.146718883514405,1.5069170258895708,23.524163341522218,3.3106106104819295,0.859144581684759,0.049659122414510905,0.8823901915766494,0.043084343637610815,0.8680981595092024,0.044274441876439405,0.915928596715025,0.04250327377886747,0.8104294478527606,0.06352434131775565
11,8,10.020715618133545,3.7446033928010456,23.127915954589845,11.415312053628233,0.8356721576523582,0.0406973014746347,0.8586056588505402,0.03693365279200472,0.8411042944785276,0.04628345443287375,0.8785822256227134,0.07838686374519051,0.8027607361963189,0.05063301352665391
13,6,7.827601575851441,3.807559642260261,27.155987644195555,12.880381850197415,0.8450564009024193,0.03202043906143079,0.8715824833452521,0.027100725703849474,0.8515337423312884,0.034502726045313334,0.8962146654817813,0.07424834766225148,0.8082822085889569,0.06383022100210066
14,7,11.26749520301819,4.959585279522769,24.587102699279786,9.52879413625432,0.8653175617225626,0.023529810128335778,0.8837853795777033,0.022692407549448557,0.8671779141104295,0.027317841121223478,0.8875472234832159,0.06549964982037514,0.8518404907975461,0.05848045070712394
13,6,7.05349588394165,3.381990678582722,22.43463306427002,8.658061662939087,0.8273195255878626,0.0721634787998998,0.8620598724076931,0.0527321363766086,0.8389570552147239,0.05788328115175073,0.8885840103779005,0.07782297783002753,0.789877300613497,0.11689491409680308
