fss__k,model__max_depth,model__n_estimators,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_f1_mean,test_f1_std,test_roc_auc_mean,test_roc_auc_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std
27,15,300,1.046545934677124,0.018803106335718498,0.055344438552856444,0.0011519370010578953,0.919471744357532,0.05480244346073391,0.9768423726899769,0.02620905652456038,0.9141104294478527,0.06847605587693953,0.9214750236504669,0.10801309283794809,0.9260736196319017,0.014691938668500654
27,15,300,1.0366827487945556,0.025502404996796534,0.055112457275390624,0.0010453634973554098,0.9091606884895361,0.061884169388232095,0.9736231604501487,0.031192392221342166,0.901840490797546,0.08035843851470055,0.9121498992813312,0.12085056702001727,0.9174846625766871,0.018312652216686237
26,15,300,1.0249876976013184,0.04936978102254404,0.054674386978149414,0.001273428721463138,0.9169014239628869,0.053099763152330615,0.9740075369791864,0.02918492376816322,0.9121165644171778,0.06586811751610168,0.9200841441692065,0.10414889211073515,0.9214723926380369,0.012810192035473062
27,15,300,1.0566341400146484,0.01665643555217569,0.057571029663085936,0.0017354673833232096,0.915459713717477,0.05017145216164835,0.976152423877451,0.02227504635600375,0.9099693251533744,0.06438905316502508,0.9152040269956145,0.10494401796599392,0.9251533742331288,0.02340955095501707
27,15,300,1.0241038799285889,0.007370579019042707,0.05531163215637207,0.0014524739614035112,0.9119332369240581,0.06083951928841422,0.9748774417554292,0.026131518825912328,0.904601226993865,0.07893276424531531,0.9132653877439572,0.11978242343992174,0.9220858895705522,0.021807205628437104
