fss__k,model__C,model__kernel,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_f1_mean,test_f1_std,test_roc_auc_mean,test_roc_auc_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std
27,2.0,rbf,0.20411558151245118,0.016906358930414023,0.18162159919738768,0.009520536976275038,0.8771420279826199,0.03044223983310266,0.9467509127178291,0.027777243494441085,0.8746932515337423,0.03914680132395748,0.8758203460138294,0.06629812208052853,0.8822085889570552,0.014335363736868603
27,2.0,rbf,0.21518712043762206,0.014800811237421682,0.19133925437927246,0.012163265622678943,0.8729659945338686,0.037989857919567764,0.9380259889344724,0.03810830376903133,0.8702453987730063,0.048577278295285235,0.8758167116532988,0.07780457298016938,0.8748466257668712,0.015232771801147401
27,0.8016664373955424,rbf,0.21901402473449708,0.01122057799099868,0.20891962051391602,0.0075244916144129445,0.8680622055389271,0.03379556331687417,0.9327021152470925,0.03848719940961755,0.8661042944785278,0.04137580868704267,0.8682466482598686,0.06373122527428784,0.8705521472392638,0.012100050873199989
27,2.0,rbf,0.21075196266174318,0.01566055127099662,0.1843874931335449,0.00919112350110722,0.8790183328532295,0.03335022061248471,0.9429292596635175,0.03078702077083718,0.8760736196319018,0.043647299518310076,0.8789044756624798,0.07503894100249474,0.8846625766871166,0.026215779900885285
22,0.8760583728818467,rbf,0.2066176414489746,0.010250460076060397,0.19373507499694825,0.0067567658296296546,0.867227283639137,0.03455321897764142,0.932275160901803,0.03763466538547285,0.864877300613497,0.04372752913836604,0.8682381680078034,0.06967276257287958,0.8699386503067486,0.0148828337063904
