fss__k,model__criterion,model__max_depth,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_f1_mean,test_f1_std,test_roc_auc_mean,test_roc_auc_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std
25,entropy,9,0.024168920516967774,0.006674984997726533,0.007224941253662109,0.002676670088417217,0.8818986100671218,0.04869375826264218,0.9261500715119124,0.06557073263829764,0.8740797546012269,0.06599442137885282,0.8669902706546815,0.09868823009741651,0.9070552147239264,0.03235578401740921
16,entropy,10,0.015392112731933593,0.002214584934660865,0.007034683227539062,0.003528017926716789,0.8831815791393586,0.05547556735875724,0.9220538973992248,0.065581918345237,0.8736196319018404,0.07722114670794321,0.8699598870225163,0.11056426030875263,0.9082822085889571,0.022486985040627336
25,gini,9,0.021576356887817384,0.0027664871995980696,0.00416874885559082,0.0005299333141909518,0.8887390819211461,0.0441973320616585,0.9186749595393126,0.06696648046076907,0.8829754601226993,0.058251121835351576,0.880410570848795,0.09286911220162514,0.9049079754601227,0.020161566533932484
27,entropy,9,0.025551414489746092,0.007731375738140213,0.005322027206420899,0.002606835134815341,0.8867291296673118,0.05246478454403875,0.923256661899206,0.06843243931385977,0.8786809815950921,0.07139961802225743,0.8776012067775614,0.1076438837896379,0.9070552147239264,0.028423518794135908
13,entropy,9,0.015414047241210937,0.0060820245525051615,0.007599353790283203,0.0020077115664353345,0.8875291694939147,0.059752813568108944,0.92410116112763,0.06865580796314395,0.8771472392638037,0.08076198377957879,0.8653586051834846,0.10903218975366867,0.9211656441717793,0.022323196808172078
